iter	Passed	Remaining
0	143	143717
1	148	73917
2	150	50080
3	152	38084
4	155	30891
5	158	26185
6	160	22795
7	163	20237
8	165	18232
9	168	16652
10	170	15373
11	173	14300
12	176	13381
13	178	12591
14	180	11885
15	183	11305
16	186	10804
17	189	10359
18	193	10000
19	196	9616
20	198	9261
21	201	8945
22	204	8683
23	207	8426
24	210	8196
25	212	7944
26	214	7718
27	216	7526
28	219	7344
29	221	7153
30	223	6985
31	225	6825
32	227	6667
33	230	6536
34	232	6421
35	234	6285
36	236	6160
37	238	6029
38	240	5924
39	242	5825
40	245	5750
41	247	5653
42	249	5560
43	251	5466
44	253	5381
45	256	5315
46	258	5237
47	260	5160
48	262	5090
49	264	5019
50	266	4952
51	268	4893
52	270	4837
53	272	4770
54	274	4716
55	276	4655
56	278	4601
57	281	4570
58	284	4537
59	287	4498
60	289	4448
61	291	4406
62	293	4368
63	297	4344
64	299	4309
65	301	4267
66	303	4227
67	305	4189
68	309	4171
69	311	4137
70	313	4099
71	314	4059
72	317	4027
73	319	3995
74	322	3978
75	324	3946
76	326	3909
77	327	3871
78	328	3835
79	330	3801
80	332	3772
81	334	3747
82	336	3717
83	338	3694
84	340	3668
85	342	3642
86	344	3616
87	347	3606
88	350	3585
89	352	3561
90	354	3536
91	356	3516
92	358	3496
93	361	3479
94	363	3458
95	364	3434
96	366	3410
97	367	3387
98	369	3364
99	372	3348
100	373	3328
101	375	3308
102	377	3289
103	380	3275
104	383	3268
105	386	3257
106	388	3239
107	389	3220
108	391	3201
109	393	3181
110	395	3164
111	397	3152
112	400	3140
113	401	3123
114	403	3105
115	405	3086
116	406	3067
117	409	3057
118	411	3044
119	413	3030
120	415	3015
121	416	2999
122	418	2981
123	419	2965
124	421	2952
125	424	2942
126	425	2926
127	427	2910
128	428	2894
129	429	2877
130	431	2861
131	432	2846
132	434	2835
133	437	2825
134	438	2811
135	440	2797
136	441	2783
137	443	2768
138	444	2756
139	447	2751
140	450	2745
141	452	2733
142	453	2720
143	456	2713
144	458	2702
145	460	2694
146	462	2684
147	464	2672
148	466	2661
149	467	2650
150	469	2637
151	470	2625
152	472	2616
153	475	2610
154	477	2605
155	479	2594
156	481	2583
157	482	2572
158	484	2562
159	487	2557
160	488	2547
161	491	2539
162	492	2530
163	494	2522
164	497	2515
165	499	2511
166	502	2506
167	504	2498
168	505	2487
169	507	2477
170	508	2466
171	510	2456
172	512	2451
173	515	2445
174	517	2437
175	518	2428
176	520	2418
177	521	2410
178	524	2403
179	525	2393
180	527	2384
181	528	2376
182	530	2366
183	531	2357
184	533	2348
185	534	2340
186	537	2338
187	541	2337
188	543	2330
189	544	2322
190	546	2315
191	548	2308
192	550	2303
193	553	2300
194	555	2292
195	557	2287
196	559	2280
197	561	2274
198	563	2267
199	565	2262
200	567	2254
201	568	2247
202	570	2239
203	572	2232
204	574	2226
205	576	2221
206	578	2217
207	580	2211
208	582	2204
209	584	2198
210	586	2191
211	588	2187
212	590	2182
213	593	2180
214	595	2173
215	597	2167
216	598	2159
217	601	2156
218	603	2152
219	606	2149
220	607	2142
221	609	2135
222	611	2129
223	612	2123
224	615	2119
225	618	2116
226	620	2112
227	621	2105
228	623	2099
229	625	2092
230	627	2087
231	629	2083
232	631	2080
233	633	2074
234	635	2069
235	637	2063
236	639	2060
237	642	2056
238	645	2054
239	648	2052
240	649	2047
241	652	2042
242	655	2042
243	657	2037
244	659	2031
245	660	2025
246	662	2019
247	663	2012
248	665	2008
249	668	2005
250	671	2002
251	672	1997
252	674	1991
253	676	1985
254	678	1982
255	680	1978
256	683	1976
257	685	1970
258	686	1964
259	688	1959
260	690	1954
261	694	1955
262	696	1952
263	698	1947
264	699	1940
265	701	1934
266	702	1929
267	705	1927
268	707	1923
269	710	1919
270	711	1914
271	713	1910
272	715	1905
273	717	1899
274	719	1896
275	721	1892
276	722	1886
277	724	1882
278	726	1877
279	727	1871
280	730	1868
281	732	1864
282	733	1859
283	735	1853
284	736	1848
285	739	1844
286	740	1839
287	741	1834
288	743	1830
289	745	1825
290	747	1821
291	749	1816
292	750	1811
293	752	1806
294	753	1800
295	755	1796
296	757	1793
297	759	1788
298	760	1783
299	762	1779
300	763	1774
301	765	1769
302	767	1765
303	769	1761
304	771	1758
305	773	1754
306	775	1749
307	778	1750
308	781	1746
309	783	1743
310	786	1742
311	788	1739
312	790	1735
313	793	1733
314	797	1734
315	800	1732
316	802	1729
317	805	1726
318	807	1724
319	810	1723
320	812	1719
321	814	1715
322	816	1711
323	818	1708
324	822	1709
325	825	1707
326	828	1704
327	830	1701
328	833	1698
329	835	1696
330	838	1694
331	840	1690
332	841	1685
333	843	1681
334	844	1676
335	845	1671
336	847	1667
337	850	1665
338	851	1661
339	853	1656
340	854	1651
341	855	1646
342	857	1641
343	858	1637
344	860	1633
345	862	1629
346	863	1625
347	865	1621
348	866	1617
349	868	1612
350	869	1608
351	870	1603
352	872	1599
353	873	1594
354	875	1590
355	877	1586
356	878	1582
357	880	1578
358	882	1575
359	883	1570
360	885	1567
361	887	1563
362	889	1560
363	891	1557
364	892	1552
365	893	1548
366	895	1544
367	896	1540
368	898	1536
369	900	1532
370	902	1529
371	903	1525
372	905	1521
373	906	1517
374	908	1513
375	909	1509
376	910	1505
377	912	1501
378	914	1499
379	916	1495
380	918	1491
381	919	1487
382	920	1483
383	922	1479
384	924	1476
385	925	1472
386	926	1468
387	928	1464
388	930	1460
389	931	1457
390	933	1453
391	934	1450
392	936	1446
393	938	1443
394	939	1439
395	941	1436
396	943	1432
397	944	1429
398	946	1425
399	947	1421
400	949	1418
401	950	1414
402	952	1410
403	954	1407
404	955	1404
405	957	1400
406	958	1397
407	960	1393
408	962	1390
409	963	1386
410	965	1382
411	967	1380
412	969	1377
413	970	1373
414	972	1370
415	973	1367
416	975	1363
417	976	1360
418	978	1356
419	979	1352
420	981	1349
421	982	1346
422	984	1342
423	985	1339
424	987	1335
425	988	1332
426	990	1328
427	992	1325
428	994	1323
429	995	1319
430	996	1316
431	998	1312
432	999	1309
433	1001	1306
434	1003	1302
435	1004	1299
436	1005	1295
437	1007	1292
438	1009	1289
439	1010	1286
440	1011	1282
441	1013	1279
442	1015	1276
443	1016	1272
444	1017	1269
445	1020	1267
446	1022	1264
447	1024	1261
448	1025	1258
449	1027	1255
450	1029	1253
451	1032	1251
452	1034	1248
453	1036	1245
454	1037	1242
455	1039	1240
456	1041	1237
457	1042	1233
458	1044	1230
459	1046	1228
460	1048	1225
461	1049	1222
462	1051	1219
463	1052	1216
464	1054	1213
465	1056	1210
466	1057	1206
467	1059	1203
468	1060	1200
469	1061	1197
470	1063	1194
471	1064	1190
472	1065	1186
473	1066	1183
